"Bit","N","SMARTS"
1,1,"[!#1][CH]([!#1])[!#1]"
2,2,"[!#1][CH]([!#1])[CH]([!#1])[!#1]"
3,3,"[!#1][CH]([!#1])[CH]([!#1])C([CH3])([CH3])[CH3]"
4,4,"[!#1][CH]([!#1])[CH](C(=O)O[CH3])C(=O)O[CH3]"
5,5,"[!#1][CH]([!#1])[CH]1[CH2][CH]([CH]([!#1])[!#1])[CH]([CH]1C(=O)[!#1])C(=O)[OH]"
6,6,"[!#1][CH]([!#1])[CH2][CH]([CH]([CH2][CH]([!#1])[!#1])C(=O)[!#1])C(=O)[!#1]"
7,7,"[!#1][CH]([!#1])[CH2][CH2][CH3]"
8,8,"[!#1][CH]([!#1])[CH2][CH2]C([!#1])([!#1])[CH3]"
9,9,"[!#1][CH]([!#1])[CH2]C(=N[NH]C(=S)[NH2])[CH2][CH3]"
10,10,"[!#1][CH]([!#1])[CH2]C(=O)[!#1]"
11,11,"[!#1][CH]([!#1])[CH2]C(=O)[CH2][CH3]"
12,12,"[!#1][CH]([!#1])[CH2]C(=O)[CH3]"
13,13,"[!#1][CH]([!#1])[CH2]N([!#1])[CH2][CH]([!#1])[!#1]"
14,14,"[!#1][CH]([!#1])[CH3]"
15,15,"[!#1][CH]([!#1])[N+](=O)[O-]"
16,16,"[!#1][CH]([!#1])[NH]C(=O)[!#1]"
17,17,"[!#1][CH]([!#1])[OH]"
18,18,"[!#1][CH]([!#1])C([!#1])([!#1])[!#1]"
19,19,"[!#1][CH]([!#1])C([!#1])([CH3])[CH3]"
20,20,"[!#1][CH]([!#1])C(=O)[!#1]"
21,21,"[!#1][CH]([!#1])C(=O)[CH]([!#1])[!#1]"
22,22,"[!#1][CH]([!#1])C(=O)[CH2]C([CH3])([CH3])[CH2]C([!#1])([!#1])[!#1]"
23,23,"[!#1][CH]([!#1])C(=O)[CH3]"
24,24,"[!#1][CH]([!#1])C(=O)[NH][NH]C(=O)[CH2][CH2][CH2][CH2][CH2][CH2][CH3]"
25,25,"[!#1][CH]([!#1])C(=O)[OH]"
26,26,"[!#1][CH]([!#1])C(=O)c1[cH][cH][cH][cH][cH]1"
27,27,"[!#1][CH]([!#1])C(=O)c1[cH][cH]c([!#1])[cH][cH]1"
28,28,"[!#1][CH]([!#1])C(=O)c1[cH][cH]c(Cl)[cH][cH]1"
29,29,"[!#1][CH]([!#1])C(=O)c1c([CH3])[cH]c([CH3])[nH]c1=O"
30,30,"[!#1][CH]([!#1])C(=O)c1c([CH3])[nH]c2[cH][cH][cH][cH]c12"
31,31,"[!#1][CH]([!#1])C(=O)c1c([OH])[cH]c([CH3])oc1=O"
32,32,"[!#1][CH]([!#1])C(=O)O[CH2][CH2]N([CH2][CH3])[CH2][CH3]"
33,33,"[!#1][CH]([!#1])c1[cH][cH][cH][cH][cH]1"
34,34,"[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1[!#1]"
35,35,"[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1[N+](=O)[O-]"
36,36,"[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1[OH]"
37,37,"[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1Cl"
38,38,"[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1F"
39,39,"[!#1][CH]([!#1])c1[cH][cH][cH][cH]c1N([!#1])c2[cH][cH][cH][cH]c2[CH]([!#1])[!#1]"
40,40,"[!#1][CH]([!#1])c1[cH][cH][cH]c([cH]1)[N+](=O)[O-]"
41,41,"[!#1][CH]([!#1])c1[cH][cH][cH]c(Br)[cH]1"
42,42,"[!#1][CH]([!#1])c1[cH][cH][cH]n[cH]1"
43,43,"[!#1][CH]([!#1])c1[cH][cH][cH]o1"
44,44,"[!#1][CH]([!#1])c1[cH][cH][cH]s1"
45,45,"[!#1][CH]([!#1])c1[cH][cH]c([!#1])[cH][cH]1"
46,46,"[!#1][CH]([!#1])c1[cH][cH]c([!#1])o1"
47,47,"[!#1][CH]([!#1])c1[cH][cH]c([cH][cH]1)[CH]([!#1])[!#1]"
48,48,"[!#1][CH]([!#1])c1[cH][cH]c([cH][cH]1)[N+](=O)[O-]"
49,49,"[!#1][CH]([!#1])c1[cH][cH]c([cH][cH]1)N([!#1])[CH3]"
50,50,"[!#1][CH]([!#1])c1[cH][cH]c([CH3])[cH]c1[CH3]"
51,51,"[!#1][CH]([!#1])c1[cH][cH]c([CH3])o1"
52,52,"[!#1][CH]([!#1])c1[cH][cH]c([OH])[cH][cH]1"
53,53,"[!#1][CH]([!#1])c1[cH][cH]c(Br)[cH][cH]1"
54,54,"[!#1][CH]([!#1])c1[cH][cH]c(Cl)[cH][cH]1"
55,55,"[!#1][CH]([!#1])c1[cH][cH]c(Cl)[cH]c1Cl"
56,56,"[!#1][CH]([!#1])c1[cH][cH]c(F)[cH][cH]1"
57,57,"[!#1][CH]([!#1])c1[cH][cH]c2O[CH2]Oc2[cH]1"
58,58,"[!#1][CH]([!#1])c1[cH][cH]n[cH][cH]1"
